ppt_number,agency,watchlist_details,status,notes
36,Insurance Regulatory and Development Authority of India (IRDAI),Blacklisted Agents,pending_recon,
37,Insurance Regulatory and Development Authority of India (IRDAI),Public Notices,pending_recon,
38,Insurance Regulatory and Development Authority of India (IRDAI),United Nations Security Council (UNSC) - ISIL (Da'esh) & Al-Qaida Sanctions List,pending_recon,
39,Insurance Regulatory and Development Authority of India (IRDAI),Warning and Penalties,pending_recon,
40,Ministry of Corporate Affairs (MCA),Companies Not Filed Form 5INV,pending_recon,Likely restricted - MCA portal requires login
41,Ministry of Corporate Affairs (MCA),Companies Under Process of Strike Off,pending_recon,
42,Ministry of Corporate Affairs (MCA),Defaulter Companies List,pending_recon,
43,Ministry of Corporate Affairs (MCA),Defaulter Directors List,pending_recon,
44,Ministry of Corporate Affairs (MCA),Defaulter Secretaries List,pending_recon,
45,Ministry of Corporate Affairs (MCA),Dormant Companies,pending_recon,
46,Ministry of Corporate Affairs (MCA),Dormant List,pending_recon,
47,Ministry of Corporate Affairs (MCA),List of Companies Struck-Off By RoCs (STK-7) U/S 248(5) CA 13,pending_recon,
48,Ministry of Corporate Affairs (MCA),List of Companies where Complaints Received Alleging that the Companies are Doing MLM/Chit Fund Activities,pending_recon,
49,Ministry of Corporate Affairs (MCA),List of Directors Associated With Struck Off Companies U/S 248,pending_recon,
50,Ministry of Corporate Affairs (MCA),List of Disqualified Directors Section 274,pending_recon,
51,Ministry of Corporate Affairs (MCA),List of Disqualified Directors U/S 164 (2)(A),pending_recon,
52,Ministry of Corporate Affairs (MCA),List of Proclaimed Offenders by the Honourable Court,pending_recon,
53,Ministry of Corporate Affairs (MCA),List of Proclaimed Offenders Under Section 82 Criminal Procedure,pending_recon,
54,Ministry of Corporate Affairs (MCA),LLPs Under Process of Strike Off,pending_recon,
55,Ministry of Corporate Affairs (MCA),Notice of Strike-Off By Registrar(STK-7) As Per Sec. 248(1)-CA 13,pending_recon,
56,Ministry of Corporate Affairs (MCA),Notice of Strike-Off Under LLP Rule 37,pending_recon,
57,Ministry of Corporate Affairs (MCA),Public Notices (STK-5) U/S 248(1)-CA 13,pending_recon,
58,Ministry of Corporate Affairs (MCA),Public Notices (STK-6) U/S 248(2)-CA 2013,pending_recon,
59,Ministry of Corporate Affairs (MCA),RD Adjudication Orders,pending_recon,
60,Ministry of Corporate Affairs (MCA),ROC Adjudication Orders,pending_recon,
61,Ministry of Corporate Affairs (MCA),Vanishing Companies,pending_recon,
62,Ministry of Defence (MOD),Details of Firms Debarred Put on Hold Suspended,pending_recon,
63,Ministry of External Affairs (MEA),List of Fugitive Economic Offender,pending_recon,
64,Ministry of External Affairs (MEA),List of Fugitives Extradited/Deported by Foreign Governments to India,pending_recon,
65,Ministry of External Affairs (MEA),List of Unregistered Agencies against which Grievances Received,pending_recon,
66,Ministry of External Affairs (MEA),Prior Approval Category,pending_recon,
67,Ministry of Finance (MOF),List of NGOs Blacklisted by Department of Financial Services,pending_recon,
